,Brand,Model,Color,Storage,Rating,Price,Ram,Display Size,Display Type,Back Camera,Front Camera,Processor,Warranty
120,Google,Pixel 10 Pro XL,Jade,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
121,Google,Pixel 10 Pro,Obsidian,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
122,Google,Pixel 10 Pro XL,Moonstone,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
123,Google,Pixel 10 Pro,Porcelain,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
124,Google,Pixel 10 Pro,Moonstone,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
125,Google,Pixel 10 Pro,Jade,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
126,Google,Pixel 9A,Obsidian,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
127,Google,Pixel 9A,Porcelain,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
128,Google,Pixel 9A,Iris,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
129,Google,Pixel 8a,Obsidian,256,4.3,56999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
130,Google,Pixel 8a,Bay,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
131,Google,Pixel 9,Porcelain,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
132,Google,Pixel 6a,Chalk,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
133,Google,Pixel 6a,Charcoal,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
134,Google,Pixel 8a,Porcelain,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
135,Google,Pixel 9,Obsidian,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
136,Google,Pixel 9,Wintergreen,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
137,Google,Pixel 8a,Obsidian,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
138,Google,Pixel 10,Frost,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
139,Google,Pixel 10,Lemongrass,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
140,Google,Pixel 10,Obsidian,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
141,Google,Pixel 10,Indigo,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
142,Google,Pixel 10 Pro XL,Obsidian,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
143,Google,Pixel 10 Pro XL,Jade,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
144,Google,Pixel 10 Pro,Obsidian,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
145,Google,Pixel 10 Pro XL,Moonstone,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
146,Google,Pixel 10 Pro,Porcelain,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
147,Google,Pixel 10 Pro,Moonstone,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
148,Google,Pixel 10 Pro,Jade,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
149,Google,Pixel 9A,Obsidian,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
150,Google,Pixel 9A,Porcelain,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
151,Google,Pixel 9A,Iris,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
152,Google,Pixel 8a,Obsidian,256,4.3,56999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
153,Google,Pixel 8a,Bay,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
154,Google,Pixel 9,Porcelain,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
155,Google,Pixel 6a,Chalk,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
156,Google,Pixel 6a,Charcoal,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
157,Google,Pixel 8a,Porcelain,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
158,Google,Pixel 9,Obsidian,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
159,Google,Pixel 9,Wintergreen,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
160,Google,Pixel 8a,Obsidian,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
161,Google,Pixel 10,Obsidian,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
162,Google,Pixel 10,Frost,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
163,Google,Pixel 10,Lemongrass,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
164,Google,Pixel 10,Indigo,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
165,Google,Pixel 10 Pro XL,Obsidian,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
166,Google,Pixel 10 Pro XL,Jade,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
167,Google,Pixel 10 Pro,Obsidian,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
168,Google,Pixel 10 Pro XL,Moonstone,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
169,Google,Pixel 10 Pro,Porcelain,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
170,Google,Pixel 10 Pro,Moonstone,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
171,Google,Pixel 10 Pro,Jade,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
172,Google,Pixel 9A,Obsidian,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
173,Google,Pixel 9A,Porcelain,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
174,Google,Pixel 9A,Iris,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
175,Google,Pixel 8a,Obsidian,256,4.3,56999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
176,Google,Pixel 8a,Bay,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
177,Google,Pixel 9,Porcelain,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
178,Google,Pixel 6a,Chalk,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
179,Google,Pixel 6a,Charcoal,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
180,Google,Pixel 8a,Porcelain,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
181,Google,Pixel 9,Obsidian,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
182,Google,Pixel 9,Wintergreen,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
183,Google,Pixel 8a,Obsidian,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
184,Google,Pixel 10,Frost,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
185,Google,Pixel 10,Lemongrass,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
186,Google,Pixel 10,Obsidian,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
187,Google,Pixel 10,Indigo,256,4.5,73999,8,6.3,Quad HD+ Display,48mp,5mp,Tensor G5,1 Year
188,Google,Pixel 10 Pro XL,Obsidian,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
189,Google,Pixel 10 Pro XL,Jade,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
190,Google,Pixel 10 Pro,Obsidian,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
191,Google,Pixel 10 Pro XL,Moonstone,256,4.6,124999,8,6.8,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
192,Google,Pixel 10 Pro,Porcelain,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
193,Google,Pixel 10 Pro,Moonstone,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
194,Google,Pixel 10 Pro,Jade,256,4.6,109999,8,6.3,Quad HD+ Display,48mp,42mp,Tensor G5,1 Year
195,Google,Pixel 9A,Obsidian,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
196,Google,Pixel 9A,Porcelain,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
197,Google,Pixel 9A,Iris,256,4.5,39999,8,6.285,Full HD+ Display,48mp,12mp,Tensor G4,1 Year
198,Google,Pixel 8a,Obsidian,256,4.3,56999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
199,Google,Pixel 8a,Bay,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
200,Google,Pixel 9,Porcelain,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
201,Google,Pixel 6a,Chalk,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
202,Google,Pixel 6a,Charcoal,128,4.3,43999,8,6.14,Full HD+ Display,12.2mp,8mp,Tensor,1 Year
203,Google,Pixel 8a,Porcelain,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
204,Google,Pixel 9,Obsidian,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
205,Google,Pixel 9,Wintergreen,256,4.6,79999,8,6.3,OLED Display,50mp,5mp,Tensor G4,1 Year
206,Google,Pixel 8a,Obsidian,128,4.3,49999,8,6.1,Full HD+ Display,64mp,13mp,Tensor G3,1 Year
